,sent0,sent1,label,PP,not_making_sense
0,He loves to stroll at the park with his bed,He loves to stroll at the park with his dog.,0,1783999.2499526858,0.0
1,The inverter was able to power the continent.,The inverter was able to power the house,0,696855.4680718598,1.0
2,The chef put extra lemons on the pizza.,The chef put extra mushrooms on the pizza.,0,1471948.9438151403,0.0
3,sugar is used to make coffee sour,sugar is used to make coffee sweet,0,567134.6603845997,0.0
4,There are beautiful flowers here and there in the garden,There are beautiful planes here and there in the garden,1,923155.3302436752,1.0
5,"Once a pipe bursts, call a doctor.","Once a pipe bursts, call a plumber.",0,10650242.458771361,1.0
6,Everyone hates paying taxes,Nobody hates paying taxes,1,32498834.421885144,1.0
7,all whales are small,whales are huge,0,3256154.6775816004,1.0
8,the boat enjoyed rolling in the mud,the pig enjoyed rolling in the mud,0,68763037.32840197,1.0
9,Barbies are a fantastic desire for kids,Barbies are the horrible desire for kids,1,2922591.8920531743,1.0
10,The window looks out her,She looks out the window,0,1843668.7462327108,0.0
11,crack addicts are addicted to chocolate milk,crack addicts are addicted to crack,0,1344855.7722813284,0.0
12,the generator was able to power the continent,the generator was able to power the house,0,1771984.0969714972,0.0
13,Witches are not made of wood,Toads are not made of wood,1,3916167.316813139,1.0
14,She went to the grocery store to get bananas.,She went to the grocery store to get an aneurysm.,1,242744.80087724622,0.0
15,He pulled the covers over his head when he got into bed.,He pulled the water over his head when he got into bed.,1,4577227.934377398,0.0
16,She is hypnotizing a book.,She is reading a book.,0,29096449.34275684,1.0
17,Roberts' room is sleeping,Robert close he's eyes and he is sleeping in his room,0,1235397.2700431324,0.0
18,Birds often fly south for the winter.,Birds like to stay in the same location all year long.,1,824925.8498837134,0.0
19,The boy ate a basketball,The boy ate a donut,0,51895857.44720368,1.0
20,He put a pig into the pan,He put stake into the pan,0,1005202.6206813316,0.0
21,A mouse is an input device.,waiting in line is for patient people,1,8210044.269815191,1.0
22,humans never go to sleep,when tired humans go to sleep,0,5289138.234460816,1.0
23,I can have a haircut at the pharmacy,I can buy medicine at the pharmacy,0,3971299.463882995,1.0
24,There are four years each season.,There are four seasons each year.,0,893236.0879952529,1.0
25,The giraffe is riding the bicycle.,The young girl is riding the bicycle.,0,7527668.734996406,0.0
26,I put on my sunglasses because it was a hot August day.,I put on my sunglasses because it was an overcast day.,1,2677058.225566072,1.0
27,Kim is taking out the garbage.,Kim is dating the garbage.,1,3206522.683710582,0.0
28,A television plays video with audio.,A television plays audio only.,1,349789.27265360975,0.0
29,Rabbits are carnivores,Rabbits are herbivores,0,29508182.223556913,1.0
30,I put a bottle of milk into the fridge.,I put a car inside the fridge.,1,3044053.1155810542,1.0
31,Firetrucks are red.,Firetrucks are green,1,10811214.283328004,1.0
32,I prefer Amazon to shop online.,Amazon is the only place to shop online.,1,988924.0248435207,0.0
33,a letter carrier is a human,an aircraft carrier is a human,1,18761586.806237735,0.0
34,Plastic is more expensive than gold.,Gold is more expensive than plastic.,0,8336828.833090823,1.0
35,The parrot flew onto the branch.,The branch ate the parrot.,1,56947875.478943355,1.0
36,Today I ran two miles to burn a lot of calories to help me lose weight.,Today I ran three ice-creams to gain a lot of calories to help me lose weight.,1,12915904.691611616,1.0
37,You do not need eyes to read a book.,You must have eyes to read a book.,0,10388638.31395165,0.0
38,the dog is talking,the dog likes to run,0,4526616.140591693,0.0
39,weathering is a hammer that breaks rock,rock is converted into the soil by weathering,0,18146379.61296043,0.0
40,The sun sprays water on the planet,The sun shines light on the earth,0,2045234.5300671957,0.0
41,people can need sleep,A reporter can press for an answer.,0,30641721.23673759,1.0
42,he wrote a great novel,he wrote a great hamburger,1,397423.7494711107,0.0
43,If you're rich you can buy a yacht.,If you're poor you can buy a yacht.,1,8094167.980509019,0.0
44,apple can be red or green,apple is a blue fruit,1,267335.241425446,0.0
45,Giraffes have long necks.,Monkeys have long necks.,1,8887076.660938652,1.0
46,Tim went to the school this morning,Tim went to the school in the sky,1,1966218.916684378,1.0
47,Brushes are for hair,Salsa is for hair,1,4662518.447237645,1.0
48,Everyday I feed my dog some dog food.,Everyday I feed my dog some chocolate bars.,1,20325539.636514988,0.0
49,My knee was scrapped and I put ointment on it.,My knee was scrapped and I put dirt on it.,1,1051173.2512489168,0.0
