,sent0,sent1,label,PP,not_making_sense
0,He loves to stroll at the park with his bed,He loves to stroll at the park with his dog.,0,84.87230257798524,0.0
1,The inverter was able to power the continent.,The inverter was able to power the house,0,158.72399372015227,0.0
2,The chef put extra lemons on the pizza.,The chef put extra mushrooms on the pizza.,0,961.1918992500854,1.0
3,sugar is used to make coffee sour,sugar is used to make coffee sweet,0,246.9508005858106,0.0
4,There are beautiful flowers here and there in the garden,There are beautiful planes here and there in the garden,1,154.27810453397643,1.0
5,"Once a pipe bursts, call a doctor.","Once a pipe bursts, call a plumber.",0,282.6531004194254,0.0
6,Everyone hates paying taxes,Nobody hates paying taxes,1,11237.161371071736,1.0
7,all whales are small,whales are huge,0,2268.205286218746,0.0
8,the boat enjoyed rolling in the mud,the pig enjoyed rolling in the mud,0,1568.096676705726,1.0
9,Barbies are a fantastic desire for kids,Barbies are the horrible desire for kids,1,1291.4264907391134,1.0
10,The window looks out her,She looks out the window,0,95.74664509690086,0.0
11,crack addicts are addicted to chocolate milk,crack addicts are addicted to crack,0,407.06801080620505,0.0
12,the generator was able to power the continent,the generator was able to power the house,0,231.33562792167467,0.0
13,Witches are not made of wood,Toads are not made of wood,1,115.18418319552904,0.0
14,She went to the grocery store to get bananas.,She went to the grocery store to get an aneurysm.,1,31.63793606035727,0.0
15,He pulled the covers over his head when he got into bed.,He pulled the water over his head when he got into bed.,1,66.47655613360297,1.0
16,She is hypnotizing a book.,She is reading a book.,0,59.60704667570751,0.0
17,Roberts' room is sleeping,Robert close he's eyes and he is sleeping in his room,0,221.7485526194126,0.0
18,Birds often fly south for the winter.,Birds like to stay in the same location all year long.,1,50.36557707359835,0.0
19,The boy ate a basketball,The boy ate a donut,0,729.7976023296709,0.0
20,He put a pig into the pan,He put stake into the pan,0,2394.7622556747424,1.0
21,A mouse is an input device.,waiting in line is for patient people,1,1588.8377556586288,1.0
22,humans never go to sleep,when tired humans go to sleep,0,519.7445200614693,1.0
23,I can have a haircut at the pharmacy,I can buy medicine at the pharmacy,0,165.483415795732,0.0
24,There are four years each season.,There are four seasons each year.,0,167.44086837028385,1.0
25,The giraffe is riding the bicycle.,The young girl is riding the bicycle.,0,142.59672510947453,0.0
26,I put on my sunglasses because it was a hot August day.,I put on my sunglasses because it was an overcast day.,1,49.04090066396094,0.0
27,Kim is taking out the garbage.,Kim is dating the garbage.,1,1005.1124165268533,1.0
28,A television plays video with audio.,A television plays audio only.,1,4341.849626248327,1.0
29,Rabbits are carnivores,Rabbits are herbivores,0,187.41930315550158,0.0
30,I put a bottle of milk into the fridge.,I put a car inside the fridge.,1,184.20270274012364,1.0
31,Firetrucks are red.,Firetrucks are green,1,226.7387698269951,1.0
32,I prefer Amazon to shop online.,Amazon is the only place to shop online.,1,27.50435638504337,0.0
33,a letter carrier is a human,an aircraft carrier is a human,1,577.2662201856662,0.0
34,Plastic is more expensive than gold.,Gold is more expensive than plastic.,0,66.41426609993417,0.0
35,The parrot flew onto the branch.,The branch ate the parrot.,1,1579.9192134533066,1.0
36,Today I ran two miles to burn a lot of calories to help me lose weight.,Today I ran three ice-creams to gain a lot of calories to help me lose weight.,1,48.023879631215316,0.0
37,You do not need eyes to read a book.,You must have eyes to read a book.,0,148.92520421785764,1.0
38,the dog is talking,the dog likes to run,0,1016.7475040632896,0.0
39,weathering is a hammer that breaks rock,rock is converted into the soil by weathering,0,211.73847928475922,0.0
40,The sun sprays water on the planet,The sun shines light on the earth,0,154.9228521841195,0.0
41,people can need sleep,A reporter can press for an answer.,0,352.8069489495965,0.0
42,he wrote a great novel,he wrote a great hamburger,1,1024.5978502096245,1.0
43,If you're rich you can buy a yacht.,If you're poor you can buy a yacht.,1,90.68988344219123,1.0
44,apple can be red or green,apple is a blue fruit,1,342.9695665614721,1.0
45,Giraffes have long necks.,Monkeys have long necks.,1,483.513342818331,0.0
46,Tim went to the school this morning,Tim went to the school in the sky,1,161.35789364237544,1.0
47,Brushes are for hair,Salsa is for hair,1,4464.363931770603,1.0
48,Everyday I feed my dog some dog food.,Everyday I feed my dog some chocolate bars.,1,124.10149739189382,1.0
49,My knee was scrapped and I put ointment on it.,My knee was scrapped and I put dirt on it.,1,318.83225777906296,1.0
50,Jeremy fetches the cans of soup from the cabinet.,Jeremy fetches a bull from the cabinet.,1,264.52233288131515,1.0
51,the TV is on right now,the TV is walking away,1,1107.7588129865487,1.0
52,Something you find at a hotel is an elevator,Something you find at a hotel is n cow shelter,1,746.2586458484104,1.0
53,He purchased chemical and cement to prepare a sandwich for dinner,He purchased breads and vegetables to prepare a sandwich for dinner,0,210.662213369508,0.0
54,i am going are computer buy on mobile shop,i am going are computer buy on Acer store,0,13823.341895506588,1.0
55,Humans wrote the bible about god,God lives physically on earth,1,2233.120948676394,1.0
56,A family do not need a house.,A house is a shelter for the family.,0,86.73146319463343,0.0
57,We need plants to survive.,We need fire to survive.,1,607.9770755170747,1.0
58,he was given sweets as he passed the exam,he was given sweets as he failed the exam,1,279.2318409741703,1.0
59,the amazon rainforest contains many undiscovered species,the Amazon rainforest does not have any animals on it,1,66.23671526797735,0.0
60,He filled his Car Tank with Gasoline.,He filled his Car Tank with  water.,1,6275.878090586455,1.0
61,They stored food in the fridge in summer,They stored food in the ground in summer,1,411.4606549412969,1.0
62,dogs can live underwater,shrimps can live underwater,0,1919.648591078222,0.0
63,the family adopted a dinosaur to be their new pet,the family adopted a dog to be their new pet,0,126.13692351307814,0.0
64,Something you find at a home is a t.v.,Something you find at the road is a t.v.,1,95.21287273412614,0.0
65,Mowing the lawn requires zero people to accomplish the task.,Mowing the lawn requires peoples to accomplish the task.,0,442.26865527731354,1.0
66,It is hard to see the stars at night in places with air pollution.,It is easy to see the stars on a clear day.,1,55.13536670387848,0.0
67,she sipped a coffee,she sipped a shoe,1,1628.5313945650055,1.0
68,Helicopters land without runways.,Helicopters can speak English,1,222.87954525730044,0.0
69,A normal person has 4 arms,A normal person has two arms,0,447.4774973596366,0.0
70,I finished my studies at school,I finished my studies inside the sewer,1,1284.2453639954035,1.0
71,I love to eat,Eating loves me,1,8624.281393146533,1.0
72,The sun comes out at night,The sun is bigger than the earth,0,157.01774339847944,0.0
73,You can use your eyes to see,You can use your eyes to eat,1,157.61966626702258,1.0
74,onions are grown under the ground,onions are grown in the tree,1,261.2270911394927,0.0
75,Television is a form of news.,You can open a jar with your teeth.,1,95.16516820035025,0.0
76,Milk that is drunk by humans is white,Beer that is drunk by humans is white,1,368.2111670635644,0.0
77,You should leave the lights on when you leave the room.,You should turn the lights off when you leave the room.,0,23.452057903914522,0.0
78,You can dance anywhere.,You can dance in your own room,0,99.62691145800049,0.0
79,A train is used for sailing,A train is used for traveling,0,441.3494981030427,0.0
80,The boy wore his new shoes on his back.,The boy wore his new shoes on his feet.,0,139.4817048980814,0.0
81,He prays before sleeping.,He drinks energy drinks before sleeping,1,2955.071635089139,1.0
82,I use grass to cut my lawnmower.,I use a lawnmower to cut my grass.,0,62.83621252926144,0.0
83,the owner of the restaurant apologized for the good customer service,the owner of the restaurant apologized for the terrible customer service,0,69.67570290683167,0.0
84,she eats an egg for breakfast every day,she eats a table for breakfast every day,1,169.64523959691547,1.0
85,Molly turned the AC on,Molly ordered the AC on,1,4324.810996853925,1.0
86,the comedian performed magic tricks,the comedian made some jokes,0,1478.72838416578,0.0
87,SHE EAT A MOBILE PHONE,SHE eats AN APPLE,0,2861.872404957641,1.0
88,Dolphins are fish.,Dolphins are mammals.,0,2106.5328010510643,0.0
89,"in summers, always the weather is rainy.","in summers, always the weather is cold.",1,194.76419117643997,0.0
90,The flowers bloomed in the spring.,The animals bloomed in the spring,1,285.6032132543514,1.0
91,The stone can float on the water,The wood can float on the water,0,571.1070203034695,1.0
92,He hide his shoes in the closet.,He hide a lion in the closet.,1,265.05401710365777,1.0
93,A soldier fired with a revolver.,A soldier shot with a guitar.,1,629.2367637783298,1.0
94,Breakfast is eating during the night.,Breakfast is eaten in the morning.,0,127.33741591985705,0.0
95,It is easy to find seashells in the forest,It is easy to find seashells by the ocean,0,97.1237470781465,1.0
96,She went to college to learn how to drive a car,She went to college to get a degree in criminology,0,25.00409667825398,0.0
97,He wants to fly.,He can fly.,1,437.51435809989243,1.0
98,The library is on a street corner downtown,The library is under a river downtown,1,2563.60739646935,1.0
99,short is life,Life is short,0,602.6155610001205,0.0
100,Water is not healthy.,"Water is a clear, colorless, odorless and tasteless liquid.",0,24.408804438996867,0.0
101,a correct diet is good for your health,eating trash food every day makes you stronger,1,1013.8630280184623,1.0
102,People like to eat land,People like to eat pizza,0,184.40254716154573,0.0
103,Readers read fiction novels to immerse themselves in the author's fictitious world.,The reality readers live in is the same as the fictitious worlds authors create in fiction novels.,1,170.1805434498365,1.0
104,He rides rockets all days,He rides a bike all days,0,1050.9821959229096,0.0
105,Boats float on water.,Planes float on water.,1,860.1073352943338,1.0
106,I can lit a car,I can lift a trash can.,0,240.55752989377325,0.0
107,if you want to relax then you should go lie down,standing up for long hours is relaxing,1,758.1178670658119,1.0
108,A stove sits on a pan,A pan sits on a stove.,0,582.4255279639721,0.0
109,I would like to fry a laptop,I would like to buy a laptop,0,60.90041901587566,0.0
110,The goldfish ate a cat.,The cat ate a goldfish.,0,397.0077731180438,0.0
111,I put the leftover food in the fridge.,I put the leftover food in the oven.,1,69.65972401258499,1.0
112,Lasagna is often eaten during movies.,Popcorn is often eaten during movies.,0,364.1508576458779,0.0
113,You are more likely to overeat on a full stomach.,You are more likely to overeat on an empty stomach.,0,38.438278999959266,0.0
114,the car had a significant amount of rust,the cow had a significant amount of rust,1,402.098254192042,1.0
115,She turned the light off.,She turned the sun off.,1,305.779176900728,1.0
116,I need to heat up some water using the refrigerator,I need to heat up some water using the microwave,0,137.86379339862805,0.0
117,The bird rented a room,The bird is tired,0,10200.258505118965,1.0
118,he won the lottery,he always wins the lottery,1,407.5485103216293,0.0
119,The McLaren is a well-designed vehicle.,The apple is a well-designed vehicle.,1,194.10101794336038,1.0
120,people usually have their lunch in the morning,people usually have their dinner at night,0,251.15328306284013,1.0
121,The man slipped on the banana skin,The man slipped on the gentle breeze,1,997.1712149432547,1.0
122,the murder case remained unsolved,the murder case remained a happy event,1,2967.3193754511385,1.0
123,He went to a petrol station to write the exam,He went to the examination hall to write the exam,0,132.0681328513835,0.0
124,only eating fried food makes your diet healthier,eating vegetables is a healthy part of your diet,0,86.08577648209628,0.0
125,Amazon has gone bankrupt,Amazon is a big company,0,63.35649865762769,0.0
126,her favorite organ is the kidney,her favorite organ is the telephone,1,28946.340905514502,1.0
127,The man went to the doctor because his back hurt,The man went to the doctor because he needed to buy bread,1,78.64728180332429,0.0
128,Fish swim in sand.,Fish swim in water.,0,550.8199812125284,0.0
129,cake is not poisonous,lead is not poisonous,1,686.1498071110885,1.0
130,He put the cat in the fridge,He put an orange in the fridge,0,217.10696692722198,1.0
131,To be a doctor you must only obtain the faith and trust of your patients.,To be a doctor you must go to school for several years and earn a Ph.D.,0,26.100035241617988,0.0
132,he put a person on the back and his bike,he put a giraffe on the back of his bike,1,38.58358876208075,0.0
133,War is a good thing and benefits everyone.,War is evil.,0,202.13275307561352,1.0
134,graphs have been known to cause cancer,graphs can track numeric information,0,914.1704169874682,1.0
135,The worm swallowed the bird.,The bird swallowed the worm.,0,1719.7422676718566,0.0
136,he put some cooking oil in his wine,he put some ice in his wine,0,330.17034142807876,1.0
137,I'saw a bird on the bike,I saw an elephant on a bicycle.,1,150.57402769278025,0.0
138,the bird flew away,the cow flew away,1,21716.16487217835,1.0
139,the TV program entertains the fish,the TV program entertains many people,0,497.68750576030146,0.0
